datetime,fx_mark,fx,start_dt,end_st,fx_high,fx_low
2021-01-04 00:03:00 UTC,d,1.22429,2021-01-04 00:02:00 UTC,2021-01-04 00:05:00 UTC,1.22457,1.22429
2021-01-04 00:12:00 UTC,g,1.22491,2021-01-04 00:11:00 UTC,2021-01-04 00:13:00 UTC,1.22491,1.22456
2021-01-04 00:21:00 UTC,d,1.22406,2021-01-04 00:20:00 UTC,2021-01-04 00:23:00 UTC,1.22449,1.22406
2021-01-04 00:26:00 UTC,g,1.22474,2021-01-04 00:25:00 UTC,2021-01-04 00:28:00 UTC,1.22474,1.22435
2021-01-04 00:39:00 UTC,d,1.22385,2021-01-04 00:37:00 UTC,2021-01-04 00:40:00 UTC,1.22406,1.22385
2021-01-04 00:46:00 UTC,g,1.22439,2021-01-04 00:45:00 UTC,2021-01-04 00:47:00 UTC,1.22439,1.22413
2021-01-04 00:57:00 UTC,d,1.22395,2021-01-04 00:56:00 UTC,2021-01-04 00:58:00 UTC,1.22418,1.22395
2021-01-04 01:10:00 UTC,g,1.22502,2021-01-04 01:08:00 UTC,2021-01-04 01:11:00 UTC,1.22502,1.22465
2021-01-04 01:34:00 UTC,d,1.22414,2021-01-04 01:31:00 UTC,2021-01-04 01:35:00 UTC,1.2244,1.22414
2021-01-04 01:50:00 UTC,g,1.22556,2021-01-04 01:49:00 UTC,2021-01-04 01:52:00 UTC,1.22556,1.22515
2021-01-04 02:01:00 UTC,d,1.22508,2021-01-04 01:59:00 UTC,2021-01-04 02:02:00 UTC,1.22542,1.22508
2021-01-04 02:09:00 UTC,g,1.22581,2021-01-04 02:08:00 UTC,2021-01-04 02:10:00 UTC,1.22581,1.22554
2021-01-04 02:24:00 UTC,d,1.22509,2021-01-04 02:23:00 UTC,2021-01-04 02:26:00 UTC,1.22539,1.22509
2021-01-04 02:32:00 UTC,g,1.22584,2021-01-04 02:31:00 UTC,2021-01-04 02:35:00 UTC,1.22584,1.22546
2021-01-04 02:39:00 UTC,d,1.22494,2021-01-04 02:38:00 UTC,2021-01-04 02:40:00 UTC,1.22519,1.22494
2021-01-04 03:30:00 UTC,g,1.22576,2021-01-04 03:29:00 UTC,2021-01-04 03:32:00 UTC,1.22576,1.22554
2021-01-04 03:35:00 UTC,d,1.22485,2021-01-04 03:34:00 UTC,2021-01-04 03:36:00 UTC,1.22522,1.22485
2021-01-04 03:49:00 UTC,g,1.22577,2021-01-04 03:48:00 UTC,2021-01-04 03:50:00 UTC,1.22577,1.22561
2021-01-04 04:23:00 UTC,d,1.22479,2021-01-04 04:21:00 UTC,2021-01-04 04:24:00 UTC,1.22498,1.22479
2021-01-04 04:27:00 UTC,g,1.22509,2021-01-04 04:26:00 UTC,2021-01-04 04:28:00 UTC,1.22509,1.22484
2021-01-04 04:35:00 UTC,d,1.22436,2021-01-04 04:34:00 UTC,2021-01-04 04:36:00 UTC,1.22484,1.22436
2021-01-04 05:00:00 UTC,g,1.22492,2021-01-04 04:59:00 UTC,2021-01-04 05:01:00 UTC,1.22492,1.22478
2021-01-04 05:06:00 UTC,d,1.22465,2021-01-04 05:05:00 UTC,2021-01-04 05:08:00 UTC,1.22481,1.22465
2021-01-04 05:12:00 UTC,g,1.22494,2021-01-04 05:11:00 UTC,2021-01-04 05:13:00 UTC,1.22494,1.2248
2021-01-04 05:18:00 UTC,d,1.22413,2021-01-04 05:16:00 UTC,2021-01-04 05:19:00 UTC,1.22437,1.22413
2021-01-04 05:40:00 UTC,g,1.22479,2021-01-04 05:39:00 UTC,2021-01-04 05:43:00 UTC,1.22479,1.22462
2021-01-04 05:46:00 UTC,d,1.22455,2021-01-04 05:45:00 UTC,2021-01-04 05:47:00 UTC,1.2247,1.22455
2021-01-04 05:58:00 UTC,g,1.22593,2021-01-04 05:57:00 UTC,2021-01-04 06:00:00 UTC,1.22593,1.22537
2021-01-04 06:24:00 UTC,d,1.2242,2021-01-04 06:22:00 UTC,2021-01-04 06:25:00 UTC,1.22445,1.2242
2021-01-04 07:18:00 UTC,g,1.22684,2021-01-04 07:17:00 UTC,2021-01-04 07:20:00 UTC,1.22684,1.22634
2021-01-04 07:24:00 UTC,d,1.22598,2021-01-04 07:23:00 UTC,2021-01-04 07:25:00 UTC,1.22627,1.22598
2021-01-04 07:40:00 UTC,g,1.22679,2021-01-04 07:39:00 UTC,2021-01-04 07:41:00 UTC,1.22679,1.22655
2021-01-04 07:55:00 UTC,d,1.22566,2021-01-04 07:54:00 UTC,2021-01-04 07:56:00 UTC,1.22633,1.22566
2021-01-04 08:10:00 UTC,g,1.2271,2021-01-04 08:09:00 UTC,2021-01-04 08:12:00 UTC,1.2271,1.22662
2021-01-04 08:15:00 UTC,d,1.22656,2021-01-04 08:14:00 UTC,2021-01-04 08:17:00 UTC,1.22696,1.22656
2021-01-04 08:44:00 UTC,g,1.22861,2021-01-04 08:40:00 UTC,2021-01-04 08:46:00 UTC,1.22861,1.22806
2021-01-04 08:54:00 UTC,d,1.22798,2021-01-04 08:53:00 UTC,2021-01-04 08:55:00 UTC,1.22837,1.22798
2021-01-04 09:37:00 UTC,g,1.23005,2021-01-04 09:36:00 UTC,2021-01-04 09:38:00 UTC,1.23005,1.22968
2021-01-04 09:54:00 UTC,d,1.22892,2021-01-04 09:51:00 UTC,2021-01-04 09:55:00 UTC,1.22946,1.22892
2021-01-04 10:15:00 UTC,g,1.22997,2021-01-04 10:14:00 UTC,2021-01-04 10:16:00 UTC,1.22997,1.22956
2021-01-04 10:37:00 UTC,d,1.22897,2021-01-04 10:36:00 UTC,2021-01-04 10:39:00 UTC,1.22909,1.22897
2021-01-04 10:49:00 UTC,g,1.22983,2021-01-04 10:48:00 UTC,2021-01-04 10:50:00 UTC,1.22983,1.22951
2021-01-04 10:53:00 UTC,d,1.22906,2021-01-04 10:52:00 UTC,2021-01-04 10:55:00 UTC,1.22944,1.22906
2021-01-04 11:05:00 UTC,g,1.22994,2021-01-04 11:04:00 UTC,2021-01-04 11:07:00 UTC,1.22994,1.2298
2021-01-04 11:49:00 UTC,d,1.22922,2021-01-04 11:47:00 UTC,2021-01-04 11:50:00 UTC,1.22953,1.22922
2021-01-04 11:56:00 UTC,g,1.22985,2021-01-04 11:54:00 UTC,2021-01-04 11:57:00 UTC,1.22985,1.2296
2021-01-04 12:03:00 UTC,d,1.2287,2021-01-04 12:00:00 UTC,2021-01-04 12:04:00 UTC,1.2293,1.2287
2021-01-04 12:32:00 UTC,g,1.23,2021-01-04 12:31:00 UTC,2021-01-04 12:35:00 UTC,1.23,1.22977
2021-01-04 12:46:00 UTC,d,1.22939,2021-01-04 12:42:00 UTC,2021-01-04 12:47:00 UTC,1.22956,1.22939
2021-01-04 12:58:00 UTC,g,1.2306,2021-01-04 12:57:00 UTC,2021-01-04 13:02:00 UTC,1.2306,1.22991
2021-01-04 13:26:00 UTC,d,1.22862,2021-01-04 13:24:00 UTC,2021-01-04 13:27:00 UTC,1.229,1.22862
2021-01-04 13:47:00 UTC,g,1.23041,2021-01-04 13:46:00 UTC,2021-01-04 13:48:00 UTC,1.23041,1.22977
2021-01-04 13:55:00 UTC,d,1.22919,2021-01-04 13:53:00 UTC,2021-01-04 13:56:00 UTC,1.22949,1.22919
2021-01-04 14:26:00 UTC,g,1.23096,2021-01-04 14:25:00 UTC,2021-01-04 14:30:00 UTC,1.23096,1.23061
2021-01-04 14:38:00 UTC,d,1.22899,2021-01-04 14:37:00 UTC,2021-01-04 14:39:00 UTC,1.22958,1.22899
2021-01-04 14:47:00 UTC,g,1.23041,2021-01-04 14:46:00 UTC,2021-01-04 14:48:00 UTC,1.23041,1.23001
2021-01-04 15:10:00 UTC,d,1.22732,2021-01-04 15:09:00 UTC,2021-01-04 15:11:00 UTC,1.2278,1.22732
2021-01-04 15:19:00 UTC,g,1.22821,2021-01-04 15:18:00 UTC,2021-01-04 15:20:00 UTC,1.22821,1.2277
2021-01-04 15:45:00 UTC,d,1.22602,2021-01-04 15:43:00 UTC,2021-01-04 15:48:00 UTC,1.22707,1.22602
2021-01-04 16:05:00 UTC,g,1.22751,2021-01-04 16:02:00 UTC,2021-01-04 16:06:00 UTC,1.22751,1.22706
2021-01-04 16:57:00 UTC,d,1.22524,2021-01-04 16:56:00 UTC,2021-01-04 16:58:00 UTC,1.22565,1.22524
2021-01-04 17:10:00 UTC,g,1.22569,2021-01-04 17:08:00 UTC,2021-01-04 17:11:00 UTC,1.22569,1.22523
2021-01-04 17:17:00 UTC,d,1.22501,2021-01-04 17:16:00 UTC,2021-01-04 17:20:00 UTC,1.22535,1.22501
2021-01-04 17:37:00 UTC,g,1.22611,2021-01-04 17:35:00 UTC,2021-01-04 17:39:00 UTC,1.22611,1.22565
2021-01-04 17:48:00 UTC,d,1.225,2021-01-04 17:47:00 UTC,2021-01-04 17:49:00 UTC,1.22527,1.225
2021-01-04 18:01:00 UTC,g,1.22566,2021-01-04 18:00:00 UTC,2021-01-04 18:03:00 UTC,1.22566,1.22516
2021-01-04 18:34:00 UTC,d,1.22424,2021-01-04 18:33:00 UTC,2021-01-04 18:35:00 UTC,1.22458,1.22424
2021-01-04 19:00:00 UTC,g,1.22514,2021-01-04 18:59:00 UTC,2021-01-04 19:01:00 UTC,1.22514,1.22485
2021-01-04 19:11:00 UTC,d,1.22437,2021-01-04 19:08:00 UTC,2021-01-04 19:12:00 UTC,1.22462,1.22437
2021-01-04 19:18:00 UTC,g,1.22492,2021-01-04 19:17:00 UTC,2021-01-04 19:19:00 UTC,1.22492,1.22469
2021-01-04 19:30:00 UTC,d,1.22467,2021-01-04 19:25:00 UTC,2021-01-04 19:31:00 UTC,1.22486,1.22467
2021-01-04 19:43:00 UTC,g,1.22507,2021-01-04 19:42:00 UTC,2021-01-04 19:45:00 UTC,1.22507,1.22488
2021-01-04 19:51:00 UTC,d,1.22462,2021-01-04 19:50:00 UTC,2021-01-04 19:52:00 UTC,1.225,1.22462
2021-01-04 19:59:00 UTC,g,1.22523,2021-01-04 19:57:00 UTC,2021-01-04 20:02:00 UTC,1.22523,1.22515
2021-01-04 20:09:00 UTC,d,1.22438,2021-01-04 20:07:00 UTC,2021-01-04 20:10:00 UTC,1.22473,1.22438
2021-01-04 20:22:00 UTC,g,1.22489,2021-01-04 20:21:00 UTC,2021-01-04 20:23:00 UTC,1.22489,1.22468
2021-01-04 20:35:00 UTC,d,1.22413,2021-01-04 20:33:00 UTC,2021-01-04 20:38:00 UTC,1.22432,1.22413
2021-01-04 21:00:00 UTC,g,1.22496,2021-01-04 20:58:00 UTC,2021-01-04 21:03:00 UTC,1.22496,1.22453
2021-01-04 21:21:00 UTC,d,1.2242,2021-01-04 21:20:00 UTC,2021-01-04 21:23:00 UTC,1.22435,1.2242
2021-01-04 21:27:00 UTC,g,1.22444,2021-01-04 21:26:00 UTC,2021-01-04 21:28:00 UTC,1.22444,1.2243
2021-01-04 21:31:00 UTC,d,1.22416,2021-01-04 21:30:00 UTC,2021-01-04 21:33:00 UTC,1.22436,1.22416
2021-01-04 23:18:00 UTC,g,1.22534,2021-01-04 23:17:00 UTC,2021-01-04 23:20:00 UTC,1.22534,1.22507
2021-01-04 23:29:00 UTC,d,1.22475,2021-01-04 23:28:00 UTC,2021-01-04 23:30:00 UTC,1.225,1.22475
2021-01-04 23:40:00 UTC,g,1.22527,2021-01-04 23:38:00 UTC,2021-01-04 23:44:00 UTC,1.22527,1.22511
2021-01-05 00:06:00 UTC,d,1.2247,2021-01-05 00:05:00 UTC,2021-01-05 00:08:00 UTC,1.22504,1.2247
2021-01-05 00:12:00 UTC,g,1.2251,2021-01-05 00:10:00 UTC,2021-01-05 00:14:00 UTC,1.2251,1.22494
2021-01-05 00:19:00 UTC,d,1.22489,2021-01-05 00:17:00 UTC,2021-01-05 00:20:00 UTC,1.22506,1.22489
2021-01-05 01:16:00 UTC,g,1.22629,2021-01-05 01:15:00 UTC,2021-01-05 01:19:00 UTC,1.22629,1.22618
2021-01-05 01:23:00 UTC,d,1.22602,2021-01-05 01:22:00 UTC,2021-01-05 01:24:00 UTC,1.22616,1.22602
2021-01-05 01:29:00 UTC,g,1.22627,2021-01-05 01:27:00 UTC,2021-01-05 01:30:00 UTC,1.22627,1.22605
2021-01-05 01:59:00 UTC,d,1.22566,2021-01-05 01:54:00 UTC,2021-01-05 02:00:00 UTC,1.22584,1.22566
2021-01-05 02:39:00 UTC,g,1.22701,2021-01-05 02:38:00 UTC,2021-01-05 02:41:00 UTC,1.22701,1.22671
2021-01-05 02:49:00 UTC,d,1.22663,2021-01-05 02:44:00 UTC,2021-01-05 02:50:00 UTC,1.22687,1.22663
2021-01-05 02:58:00 UTC,g,1.22729,2021-01-05 02:57:00 UTC,2021-01-05 02:59:00 UTC,1.22729,1.22695
2021-01-05 03:05:00 UTC,d,1.22677,2021-01-05 03:04:00 UTC,2021-01-05 03:07:00 UTC,1.227,1.22677
2021-01-05 03:19:00 UTC,g,1.2275,2021-01-05 03:15:00 UTC,2021-01-05 03:22:00 UTC,1.2275,1.22725
2021-01-05 03:25:00 UTC,d,1.22707,2021-01-05 03:24:00 UTC,2021-01-05 03:26:00 UTC,1.22728,1.22707
2021-01-05 03:30:00 UTC,g,1.22767,2021-01-05 03:29:00 UTC,2021-01-05 03:32:00 UTC,1.22767,1.22747
2021-01-05 03:50:00 UTC,d,1.22675,2021-01-05 03:48:00 UTC,2021-01-05 03:51:00 UTC,1.227,1.22675
2021-01-05 03:59:00 UTC,g,1.22731,2021-01-05 03:58:00 UTC,2021-01-05 04:02:00 UTC,1.22731,1.22716
2021-01-05 04:17:00 UTC,d,1.22659,2021-01-05 04:16:00 UTC,2021-01-05 04:19:00 UTC,1.22674,1.22659
2021-01-05 04:22:00 UTC,g,1.22694,2021-01-05 04:21:00 UTC,2021-01-05 04:24:00 UTC,1.22694,1.22689
2021-01-05 04:33:00 UTC,d,1.22664,2021-01-05 04:32:00 UTC,2021-01-05 04:34:00 UTC,1.22677,1.22664
2021-01-05 04:46:00 UTC,g,1.22701,2021-01-05 04:45:00 UTC,2021-01-05 04:47:00 UTC,1.22701,1.2268
2021-01-05 04:57:00 UTC,d,1.22679,2021-01-05 04:55:00 UTC,2021-01-05 04:59:00 UTC,1.22693,1.22679
2021-01-05 05:08:00 UTC,g,1.22719,2021-01-05 05:07:00 UTC,2021-01-05 05:09:00 UTC,1.22719,1.22705
2021-01-05 05:44:00 UTC,d,1.22671,2021-01-05 05:42:00 UTC,2021-01-05 05:46:00 UTC,1.22692,1.22671
2021-01-05 05:55:00 UTC,g,1.22733,2021-01-05 05:54:00 UTC,2021-01-05 06:00:00 UTC,1.22733,1.22715
2021-01-05 06:16:00 UTC,d,1.22668,2021-01-05 06:15:00 UTC,2021-01-05 06:17:00 UTC,1.22688,1.22668
2021-01-05 06:51:00 UTC,g,1.22743,2021-01-05 06:49:00 UTC,2021-01-05 06:53:00 UTC,1.22743,1.22708
2021-01-05 07:09:00 UTC,d,1.22613,2021-01-05 07:08:00 UTC,2021-01-05 07:11:00 UTC,1.22639,1.22613
2021-01-05 07:28:00 UTC,g,1.2271,2021-01-05 07:27:00 UTC,2021-01-05 07:30:00 UTC,1.2271,1.22687
2021-01-05 07:36:00 UTC,d,1.22629,2021-01-05 07:35:00 UTC,2021-01-05 07:39:00 UTC,1.22659,1.22629
2021-01-05 07:47:00 UTC,g,1.22662,2021-01-05 07:45:00 UTC,2021-01-05 07:48:00 UTC,1.22662,1.22623
2021-01-05 07:57:00 UTC,d,1.22552,2021-01-05 07:56:00 UTC,2021-01-05 07:58:00 UTC,1.22598,1.22552
2021-01-05 08:19:00 UTC,g,1.22787,2021-01-05 08:17:00 UTC,2021-01-05 08:21:00 UTC,1.22787,1.22724
2021-01-05 08:39:00 UTC,d,1.2261,2021-01-05 08:38:00 UTC,2021-01-05 08:41:00 UTC,1.22673,1.2261
2021-01-05 09:08:00 UTC,g,1.22804,2021-01-05 09:07:00 UTC,2021-01-05 09:09:00 UTC,1.22804,1.22764
2021-01-05 09:20:00 UTC,d,1.22746,2021-01-05 09:19:00 UTC,2021-01-05 09:21:00 UTC,1.22788,1.22746
2021-01-05 09:29:00 UTC,g,1.22839,2021-01-05 09:28:00 UTC,2021-01-05 09:31:00 UTC,1.22839,1.22825
2021-01-05 09:56:00 UTC,d,1.22684,2021-01-05 09:55:00 UTC,2021-01-05 09:59:00 UTC,1.22732,1.22684
2021-01-05 10:38:00 UTC,g,1.22842,2021-01-05 10:37:00 UTC,2021-01-05 10:39:00 UTC,1.22842,1.22819
2021-01-05 10:59:00 UTC,d,1.22755,2021-01-05 10:58:00 UTC,2021-01-05 11:00:00 UTC,1.22797,1.22755
2021-01-05 11:08:00 UTC,g,1.2285,2021-01-05 11:06:00 UTC,2021-01-05 11:10:00 UTC,1.2285,1.22815
2021-01-05 11:20:00 UTC,d,1.22772,2021-01-05 11:19:00 UTC,2021-01-05 11:21:00 UTC,1.22798,1.22772
2021-01-05 11:35:00 UTC,g,1.22906,2021-01-05 11:34:00 UTC,2021-01-05 11:36:00 UTC,1.22906,1.22847
2021-01-05 12:26:00 UTC,d,1.2267,2021-01-05 12:24:00 UTC,2021-01-05 12:28:00 UTC,1.22706,1.2267
2021-01-05 12:38:00 UTC,g,1.22778,2021-01-05 12:37:00 UTC,2021-01-05 12:39:00 UTC,1.22778,1.22732
2021-01-05 12:48:00 UTC,d,1.22658,2021-01-05 12:47:00 UTC,2021-01-05 12:49:00 UTC,1.22689,1.22658
2021-01-05 13:09:00 UTC,g,1.22759,2021-01-05 13:08:00 UTC,2021-01-05 13:10:00 UTC,1.22759,1.22714
2021-01-05 13:32:00 UTC,d,1.22647,2021-01-05 13:31:00 UTC,2021-01-05 13:33:00 UTC,1.22666,1.22647
2021-01-05 13:40:00 UTC,g,1.22728,2021-01-05 13:39:00 UTC,2021-01-05 13:41:00 UTC,1.22728,1.22702
2021-01-05 13:55:00 UTC,d,1.22603,2021-01-05 13:54:00 UTC,2021-01-05 13:57:00 UTC,1.22648,1.22603
2021-01-05 14:38:00 UTC,g,1.22784,2021-01-05 14:36:00 UTC,2021-01-05 14:41:00 UTC,1.22784,1.22683
2021-01-05 15:01:00 UTC,d,1.22538,2021-01-05 15:00:00 UTC,2021-01-05 15:03:00 UTC,1.22575,1.22538
2021-01-05 15:16:00 UTC,g,1.22668,2021-01-05 15:15:00 UTC,2021-01-05 15:17:00 UTC,1.22668,1.22617
2021-01-05 15:23:00 UTC,d,1.22555,2021-01-05 15:22:00 UTC,2021-01-05 15:24:00 UTC,1.22599,1.22555
2021-01-05 15:37:00 UTC,g,1.22743,2021-01-05 15:36:00 UTC,2021-01-05 15:40:00 UTC,1.22743,1.227
2021-01-05 15:44:00 UTC,d,1.2268,2021-01-05 15:43:00 UTC,2021-01-05 15:46:00 UTC,1.22742,1.2268
2021-01-05 15:52:00 UTC,g,1.22825,2021-01-05 15:51:00 UTC,2021-01-05 15:53:00 UTC,1.22825,1.22773
2021-01-05 16:10:00 UTC,d,1.2273,2021-01-05 16:09:00 UTC,2021-01-05 16:12:00 UTC,1.22772,1.2273
2021-01-05 16:45:00 UTC,g,1.22966,2021-01-05 16:44:00 UTC,2021-01-05 16:47:00 UTC,1.22966,1.22922
2021-01-05 16:52:00 UTC,d,1.22907,2021-01-05 16:51:00 UTC,2021-01-05 16:54:00 UTC,1.22941,1.22907
2021-01-05 17:09:00 UTC,g,1.23052,2021-01-05 17:08:00 UTC,2021-01-05 17:12:00 UTC,1.23052,1.22984
2021-01-05 17:18:00 UTC,d,1.22949,2021-01-05 17:17:00 UTC,2021-01-05 17:19:00 UTC,1.22984,1.22949
2021-01-05 17:26:00 UTC,g,1.23034,2021-01-05 17:25:00 UTC,2021-01-05 17:28:00 UTC,1.23034,1.22984
2021-01-05 17:33:00 UTC,d,1.22968,2021-01-05 17:30:00 UTC,2021-01-05 17:35:00 UTC,1.23001,1.22968
2021-01-05 17:40:00 UTC,g,1.23021,2021-01-05 17:38:00 UTC,2021-01-05 17:41:00 UTC,1.23021,1.22974
2021-01-05 17:52:00 UTC,d,1.22965,2021-01-05 17:51:00 UTC,2021-01-05 17:54:00 UTC,1.22995,1.22965
2021-01-05 18:28:00 UTC,g,1.23044,2021-01-05 18:26:00 UTC,2021-01-05 18:29:00 UTC,1.23044,1.23014
2021-01-05 19:03:00 UTC,d,1.22897,2021-01-05 19:02:00 UTC,2021-01-05 19:04:00 UTC,1.22946,1.22897
2021-01-05 19:21:00 UTC,g,1.23002,2021-01-05 19:20:00 UTC,2021-01-05 19:22:00 UTC,1.23002,1.22986
2021-01-05 19:27:00 UTC,d,1.22975,2021-01-05 19:26:00 UTC,2021-01-05 19:29:00 UTC,1.22993,1.22975
2021-01-05 19:49:00 UTC,g,1.23024,2021-01-05 19:47:00 UTC,2021-01-05 19:50:00 UTC,1.23024,1.23009
2021-01-05 20:06:00 UTC,d,1.22985,2021-01-05 20:05:00 UTC,2021-01-05 20:07:00 UTC,1.23005,1.22985
2021-01-05 20:12:00 UTC,g,1.23021,2021-01-05 20:11:00 UTC,2021-01-05 20:15:00 UTC,1.23021,1.22995
2021-01-05 21:16:00 UTC,d,1.22894,2021-01-05 21:15:00 UTC,2021-01-05 21:18:00 UTC,1.229,1.22894
2021-01-05 21:24:00 UTC,g,1.22942,2021-01-05 21:23:00 UTC,2021-01-05 21:26:00 UTC,1.22942,1.22923
2021-01-05 21:34:00 UTC,d,1.22917,2021-01-05 21:32:00 UTC,2021-01-05 21:35:00 UTC,1.22927,1.22917
2021-01-05 22:01:00 UTC,g,1.23002,2021-01-05 22:00:00 UTC,2021-01-05 22:03:00 UTC,1.23002,1.22946
2021-01-05 22:10:00 UTC,d,1.22925,2021-01-05 22:09:00 UTC,2021-01-05 22:21:00 UTC,1.22962,1.22925
2021-01-05 23:50:00 UTC,g,1.23016,2021-01-05 23:49:00 UTC,2021-01-05 23:52:00 UTC,1.23016,1.22989
2021-01-06 00:09:00 UTC,d,1.22919,2021-01-06 00:08:00 UTC,2021-01-06 00:11:00 UTC,1.2296,1.22919
2021-01-06 00:27:00 UTC,g,1.22985,2021-01-06 00:26:00 UTC,2021-01-06 00:30:00 UTC,1.22985,1.22959
2021-01-06 00:41:00 UTC,d,1.2292,2021-01-06 00:40:00 UTC,2021-01-06 00:42:00 UTC,1.22934,1.2292
2021-01-06 00:50:00 UTC,g,1.23261,2021-01-06 00:49:00 UTC,2021-01-06 00:52:00 UTC,1.23261,1.23129
2021-01-06 01:40:00 UTC,d,1.2281,2021-01-06 01:39:00 UTC,2021-01-06 01:41:00 UTC,1.22876,1.2281
2021-01-06 01:56:00 UTC,g,1.2294,2021-01-06 01:55:00 UTC,2021-01-06 01:57:00 UTC,1.2294,1.22901
2021-01-06 02:23:00 UTC,d,1.22821,2021-01-06 02:22:00 UTC,2021-01-06 02:24:00 UTC,1.22847,1.22821
2021-01-06 02:38:00 UTC,g,1.22908,2021-01-06 02:37:00 UTC,2021-01-06 02:39:00 UTC,1.22908,1.22892
2021-01-06 03:01:00 UTC,d,1.22755,2021-01-06 02:59:00 UTC,2021-01-06 03:02:00 UTC,1.22797,1.22755
2021-01-06 03:17:00 UTC,g,1.22952,2021-01-06 03:16:00 UTC,2021-01-06 03:18:00 UTC,1.22952,1.22894
2021-01-06 03:30:00 UTC,d,1.22869,2021-01-06 03:29:00 UTC,2021-01-06 03:33:00 UTC,1.22888,1.22869
2021-01-06 03:37:00 UTC,g,1.22906,2021-01-06 03:36:00 UTC,2021-01-06 03:38:00 UTC,1.22906,1.22891
2021-01-06 03:47:00 UTC,d,1.22857,2021-01-06 03:45:00 UTC,2021-01-06 03:50:00 UTC,1.22872,1.22857
2021-01-06 03:53:00 UTC,g,1.22885,2021-01-06 03:52:00 UTC,2021-01-06 03:55:00 UTC,1.22885,1.22857
2021-01-06 04:06:00 UTC,d,1.22835,2021-01-06 04:05:00 UTC,2021-01-06 04:07:00 UTC,1.22856,1.22835
2021-01-06 04:23:00 UTC,g,1.23064,2021-01-06 04:22:00 UTC,2021-01-06 04:25:00 UTC,1.23064,1.22981
2021-01-06 04:53:00 UTC,d,1.22904,2021-01-06 04:51:00 UTC,2021-01-06 04:54:00 UTC,1.22928,1.22904
2021-01-06 05:29:00 UTC,g,1.23057,2021-01-06 05:27:00 UTC,2021-01-06 05:31:00 UTC,1.23057,1.2302
2021-01-06 05:58:00 UTC,d,1.2296,2021-01-06 05:56:00 UTC,2021-01-06 06:00:00 UTC,1.2297,1.2296
2021-01-06 06:21:00 UTC,g,1.23063,2021-01-06 06:20:00 UTC,2021-01-06 06:23:00 UTC,1.23063,1.23036
2021-01-06 06:29:00 UTC,d,1.23012,2021-01-06 06:27:00 UTC,2021-01-06 06:32:00 UTC,1.23037,1.23012
2021-01-06 06:48:00 UTC,g,1.23218,2021-01-06 06:46:00 UTC,2021-01-06 06:50:00 UTC,1.23218,1.23171
2021-01-06 07:00:00 UTC,d,1.23123,2021-01-06 06:59:00 UTC,2021-01-06 07:01:00 UTC,1.23185,1.23123
2021-01-06 07:16:00 UTC,g,1.23345,2021-01-06 07:15:00 UTC,2021-01-06 07:18:00 UTC,1.23345,1.23289
2021-01-06 07:23:00 UTC,d,1.23201,2021-01-06 07:22:00 UTC,2021-01-06 07:24:00 UTC,1.23257,1.23201
2021-01-06 07:43:00 UTC,g,1.23452,2021-01-06 07:42:00 UTC,2021-01-06 07:44:00 UTC,1.23452,1.23328
2021-01-06 08:24:00 UTC,d,1.23224,2021-01-06 08:23:00 UTC,2021-01-06 08:25:00 UTC,1.23267,1.23224
2021-01-06 08:39:00 UTC,g,1.23375,2021-01-06 08:38:00 UTC,2021-01-06 08:41:00 UTC,1.23375,1.23294
2021-01-06 09:01:00 UTC,d,1.23206,2021-01-06 09:00:00 UTC,2021-01-06 09:02:00 UTC,1.23263,1.23206
2021-01-06 09:17:00 UTC,g,1.23381,2021-01-06 09:16:00 UTC,2021-01-06 09:20:00 UTC,1.23381,1.23321
2021-01-06 09:39:00 UTC,d,1.2329,2021-01-06 09:38:00 UTC,2021-01-06 09:40:00 UTC,1.23331,1.2329
2021-01-06 10:07:00 UTC,g,1.23442,2021-01-06 10:06:00 UTC,2021-01-06 10:08:00 UTC,1.23442,1.2341
2021-01-06 10:15:00 UTC,d,1.23337,2021-01-06 10:14:00 UTC,2021-01-06 10:17:00 UTC,1.23401,1.23337
2021-01-06 10:43:00 UTC,g,1.23419,2021-01-06 10:42:00 UTC,2021-01-06 10:45:00 UTC,1.23419,1.23381
2021-01-06 10:58:00 UTC,d,1.2333,2021-01-06 10:57:00 UTC,2021-01-06 10:59:00 UTC,1.23404,1.2333
2021-01-06 11:35:00 UTC,g,1.23491,2021-01-06 11:34:00 UTC,2021-01-06 11:36:00 UTC,1.23491,1.23431
2021-01-06 11:56:00 UTC,d,1.23334,2021-01-06 11:54:00 UTC,2021-01-06 11:58:00 UTC,1.23356,1.23334
2021-01-06 12:08:00 UTC,g,1.23461,2021-01-06 12:07:00 UTC,2021-01-06 12:09:00 UTC,1.23461,1.23434
2021-01-06 12:12:00 UTC,d,1.23424,2021-01-06 12:11:00 UTC,2021-01-06 12:13:00 UTC,1.23449,1.23424
2021-01-06 12:25:00 UTC,g,1.23494,2021-01-06 12:24:00 UTC,2021-01-06 12:26:00 UTC,1.23494,1.23462
2021-01-06 12:49:00 UTC,d,1.23298,2021-01-06 12:48:00 UTC,2021-01-06 12:50:00 UTC,1.23359,1.23298
2021-01-06 13:23:00 UTC,g,1.23448,2021-01-06 13:22:00 UTC,2021-01-06 13:24:00 UTC,1.23448,1.23395
2021-01-06 14:07:00 UTC,d,1.2293,2021-01-06 14:06:00 UTC,2021-01-06 14:09:00 UTC,1.23002,1.2293
